Id,AlgName,Ticker,YieldPercent,MaxDrawDown,AlfaSigma,YieldPercent3,MaxDrawDown3,AlfaSigma3,YieldPercent3MB,YieldPercent1MB,DealsCount,RecovTime,RecovTime3,ProfitFactor,ProfitFactor3,Winning,Winning3,ProfitablePercent,ProfitablePercent3,AverPercentProfit,AverPercentProfit3,AverPercentLoss,AverPercentLoss3,YieldPercent1W,YieldPercent2W,YieldPercent3W,YieldPercent1M
105425,Alfa_MACD_Momentum,SBER,43.1673481179177,-3.85925232453896,5.96232106585349,55.1821687059725,-16.7894859397467,5.81891988338355,1.05196872241092,-3.28939798180823,95,53,441,2.02201546964001,1.40739462715301,2.78027127075501,2.86891981688882,42.1052631578947,32.9113924050633,1.98775,1.99528846153846,-0.772363636363637,-0.752547169811321,0.520423267506839,NULL,NULL,NULL
105426,Alfa_MACD_Momentum,SBER,39.7035714866849,-5.50101802893329,4.63866030001988,55.8911447153972,-13.0019943021676,6.55144831153271,2.38508556602735,-2.1975629352329,94,56,396,1.84967258277502,1.43942410483114,2.84949560049125,2.70782752393978,39.3617021276596,34.7079037800687,2.18297297297297,1.97455445544554,-0.83140350877193,-0.775789473684211,-0.860883056000008,NULL,NULL,NULL
105427,Alfa_MACD_Momentum,SBER,37.020586174904,-6.81215107472005,15.3236548843899,46.4493675793972,-13.8173147778694,6.08667134071878,8.55570852339723,1.50526177336985,92,56,497,1.90121953058396,1.36167450767088,2.16650597671196,2.55476074296346,46.7391304347826,34.7682119205298,1.79186046511628,1.86885714285714,-0.81795918367347,-0.759340101522843,-0.544604544000004,NULL,NULL,NULL
105428,Alfa_MACD_Momentum,SBER,31.3562807359999,-4.10057805518654,6.29279003213158,46.1587085532054,-10.5482575290268,7.34576308119216,0.477076094904106,-2.0541244300274,78,56,389,1.76752714661146,1.39495294740241,3.15629847609189,2.99180697929727,35.8974358974359,31.7991631799163,2.40178571428571,2.35921052631579,-0.8122,-0.824662576687117,0.498019981589059,NULL,NULL,NULL
105429,Alfa_MACD_Momentum,SBER,38.5601159969314,-4.35232691019081,7.53457443122778,58.4188716054794,-13.0273946251172,6.79902736895288,1.46009364690411,-2.1847521580274,78,56,389,1.98500903067184,1.50566136057471,3.17601444907495,3.22924739175891,38.4615384615385,31.7991631799163,2.42666666666667,2.48578947368421,-0.81375,-0.819877300613497,0.347919965589058,NULL,NULL,NULL
105430,Alfa_MACD_Momentum,SBER,25.6727025762192,-4.93025504480611,11.3022405078402,36.0440601900273,-9.99128956438542,6.36382479825777,-1.06909826476712,-4.33262638027397,70,53,395,1.80813245581863,1.36436065749015,2.41084327442484,2.31776930971218,42.8571428571429,37.0535714285714,2.00566666666667,1.93,-0.8005,-0.806099290780141,0,NULL,NULL,NULL
105431,Alfa_MACD_Momentum,SBER,26.6041001358904,-4.02184264947826,5.53984140806502,41.9485947723835,-10.0525544741962,7.90828890261691,-2.64898034695892,-3.36692976942467,62,56,204,1.76639383603864,1.45687142379377,3.21162515643389,3.26540146712397,35.4838709677419,30.8510638297872,2.56590909090909,2.52862068965517,-0.853,-0.785384615384616,-0.110595617753442,NULL,NULL,NULL
105432,Alfa_MACD_Momentum,SBER,37.2779957536438,-4.31741222207587,4.18743725122127,58.4781609689862,-11.6368463709613,8.14985196741384,-4.49634628887673,-5.91795891243837,72,89,162,1.88715604494759,1.5720403265648,3.77431208989518,2.91039898296457,33.3333333333333,35.0710900473934,3.04458333333333,2.35135135135135,-0.888333333333334,-0.831094890510949,0.602861992986299,NULL,NULL,NULL
105433,Alfa_MACD_Momentum,SBER,30.8184307368767,-7.40499448234731,10.216357731919,50.3914596637808,-11.9645969228393,9.69627625653708,7.2849607419178,2.13746936263014,56,113,312,1.93153346164445,1.6028569234205,2.57537794885926,3.4097138189127,42.8571428571429,31.9767441860465,2.58166666666667,2.63563636363636,-0.990625,-0.807094017094017,0,NULL,NULL,NULL
105434,Alfa_MACD_Momentum,SBER,43.8997993472876,-4.41296801640139,12.4411614799926,75.6155976436163,-7.36028420229979,14.2081918225799,8.94109897336981,2.09361875046572,46,80,167,2.7186698297231,2.13667334408298,3.23651170205131,3.95511874330253,45.6521739130435,35.0746268656716,3.11428571428571,3.28468085106383,-0.9972,-0.835862068965517,-1.248086928,NULL,NULL,NULL
105409,Alfa_AMA,SBER,47.5684808394521,-11.9281268263014,7.84062265490235,55.0785557628494,-19.1340299694678,4.92151638694581,2.75128906257537,-3.80104931287671,50,64,409,1.97831457619933,1.3684556381808,3.2277764137989,3.87243829527759,38,26.1111111111111,5.01315789473684,4.87531914893617,-1.48354838709677,-1.28218045112782,0.661001319452048,NULL,NULL,NULL
105440,Alfa_AO_Sign,SBER,28.8942403368767,-9.17369755023842,7.40184989749992,31.8781869795068,-28.2898766974247,2.96122900508876,11.031204626411,-0.604351546082203,36,107,168,1.80169082340114,1.25764279612535,2.5223671527616,3.35371412300093,41.6666666666667,27.2727272727273,4.232,4.85472222222222,-1.6147619047619,-1.55625,-3.36649268427397,NULL,NULL,NULL
105412,Alfa_AO_Signal,SBER,73.9992294932603,-11.9560432934175,10.9165280655829,48.0507527340274,-31.8197603497753,2.89816126092537,13.6784882417534,-0.22749713227398,61,82,651,2.32285633195343,1.27188314117956,1.72555041802255,1.4251220738518,57.3770491803279,47.1590909090909,3.59285714285714,2.95819277108434,-2.13192307692308,-2.27516129032258,-0.526986943999982,NULL,NULL,NULL
